index,time,iter,reward,value,best_reward,best_value,node
126,312,126,-5.71957,524288,-5.71957,524288,X15:4-X19:1-X21:64-
127,315,127,-5.71957,524288,-5.71957,524288,X19:4-X21:2-
128,317,128,-5.71957,524288,-5.71957,524288,X13:2-X15:4-X19:1-X21:64-
129,320,129,-5.71957,524288,-5.71957,524288,X15:16-X19:1-X21:128-
130,322,130,-5.71957,524288,-5.71957,524288,X15:4-X19:2-X21:64-
131,325,131,-5.71957,524288,-5.71957,524288,X15:256-X19:1-X21:128-
132,327,132,-5.71957,524288,-5.71957,524288,X15:8-X19:64-X21:2-
133,329,133,-5.71957,524288,-5.71957,524288,X13:4-X15:64-X19:1-X21:128-
134,332,134,-5.71957,524288,-5.71957,524288,X15:64-X19:8-X21:4-
135,334,135,-5.71957,524288,-5.71957,524288,X15:128-X19:4-X21:32-
136,337,136,-5.71957,524288,-5.71957,524288,X19:128-X21:2-
137,339,137,-5.71957,524288,-5.71957,524288,X19:32-X21:8-
138,342,138,-5.71957,524288,-5.71957,524288,X15:2-X19:8-X21:8-
139,344,139,-5.71957,524288,-5.71957,524288,X13:1-X15:2-X19:2-X21:128-
140,346,140,-5.71957,524288,-5.71957,524288,X13:1-X15:128-X21:256-
141,348,141,-5.71957,524288,-5.71957,524288,X15:2-X19:16-X21:16-
142,350,142,-5.71957,524288,-5.71957,524288,X15:256-X19:2-X21:128-
143,353,143,-5.71957,524288,-5.71957,524288,X15:8-X19:4-X21:64-
144,355,144,-5.71957,524288,-5.71957,524288,X15:4-X19:8-X21:8-
145,358,145,-5.71957,524288,-5.71957,524288,X15:1-X19:2-X21:128-
146,360,146,-5.71957,524288,-5.71957,524288,X15:32-X19:4-X21:32-
147,363,147,-5.71957,524288,-5.71957,524288,X13:1-X15:1-X19:1-X21:16-
148,365,148,-5.71957,524288,-5.71957,524288,X15:64-X21:256-
149,367,149,-5.71957,524288,-5.71957,524288,X15:2-X19:2-X21:16-
150,370,150,-5.71957,524288,-5.71957,524288,X15:256-X19:2-X21:16-
151,372,151,-5.71957,524288,-5.71957,524288,X19:32-X21:1-
152,375,152,-5.71957,524288,-5.71957,524288,X13:128-X15:2-X19:2-X21:128-
153,377,153,-5.71957,524288,-5.71957,524288,X15:128-X19:1-X21:16-
154,379,154,-5.71957,524288,-5.71957,524288,X15:32-X19:32-X21:1-
155,382,155,-5.71957,524288,-5.71957,524288,X15:128-X19:2-X21:32-
156,384,156,-5.71957,524288,-5.71957,524288,X15:128-X19:2-X21:8-
157,386,157,-5.71957,524288,-5.71957,524288,X15:8-X21:256-
158,389,158,-5.71957,524288,-5.71957,524288,X13:8-X15:4-X21:256-
159,391,159,-5.71957,524288,-5.71957,524288,X15:2-X19:32-X21:4-
160,394,160,-5.71957,524288,-5.71957,524288,X15:4-X19:64-X21:2-
161,397,161,-5.71957,524288,-5.71957,524288,X13:128-X15:1-X19:1-X21:16-
162,399,162,-5.71957,524288,-5.71957,524288,X15:16-X19:128-X21:1-
163,401,163,-5.71957,524288,-5.71957,524288,X15:2-X19:1-X21:2-
164,404,164,-5.71957,524288,-5.71957,524288,X13:4-X15:32-X19:4-X21:32-
165,407,165,-5.71957,524288,-5.71957,524288,X15:16-X19:64-X21:1-
166,409,166,-5.71957,524288,-5.71957,524288,X13:2-X15:128-X19:1-X21:128-
