index,time,iter,reward,value,best_reward,best_value,node
170,427,170,-5.71957,524288,-5.71957,524288,X13:8-X15:2-X19:2-X21:64-
171,430,171,-5.71957,524288,-5.71957,524288,X15:1-X19:1-X21:64-
172,432,172,-5.71957,524288,-5.71957,524288,X15:32-X21:256-
173,435,173,-5.71957,524288,-5.71957,524288,X15:2-X19:256-X21:1-
174,437,174,-5.71957,524288,-5.71957,524288,X15:2-X21:256-
175,439,175,-5.71957,524288,-5.71957,524288,X13:2-X15:128-X19:2-X21:32-
176,442,176,-5.71957,524288,-5.71957,524288,X15:8-X19:2-X21:64-
177,444,177,-5.71957,524288,-5.71957,524288,X13:1-X15:128-X19:32-X21:2-
178,447,178,-5.71957,524288,-5.71957,524288,X15:16-X19:2-X21:64-
179,450,179,-5.71957,524288,-5.71957,524288,X15:32-X19:2-X21:16-
180,453,180,-5.71957,524288,-5.71957,524288,X15:16-X19:16-X21:8-
181,455,181,-5.71957,524288,-5.71957,524288,X15:4-X19:4-X21:32-
182,458,182,-5.71957,524288,-5.71957,524288,X15:16-X19:16-X21:16-
183,461,183,-5.71957,524288,-5.71957,524288,X13:2-X15:64-X19:16-X21:4-
184,464,184,-5.71957,524288,-5.71957,524288,X13:32-X15:2-X19:2-X21:64-
185,466,185,-5.71957,524288,-5.71957,524288,X:1-X15:256-X19:8-X21:8-
186,469,186,-5.71957,524288,-5.71957,524288,X13:2-X15:64-X19:64-X21:1-
187,471,187,-5.71957,524288,-5.71957,524288,X:64-X15:256-X19:8-X21:8-
188,474,188,-5.71957,524288,-5.71957,524288,X15:32-X19:1-X21:32-
189,476,189,-5.71957,524288,-5.71957,524288,X13:4-X15:32-X21:256-
190,479,190,-5.71957,524288,-5.71957,524288,X15:4-X19:2-X21:2-
191,480,191,-5.71957,524288,-5.71957,524288,X:1-X15:256-X21:256-
192,483,192,-5.71957,524288,-5.71957,524288,X15:64-X19:1-X21:64-
193,486,193,-5.71957,524288,-5.71957,524288,X15:64-X19:32-X21:1-
194,488,194,-5.71957,524288,-5.71957,524288,X13:1-X15:32-X21:256-
195,490,195,-5.71957,524288,-5.71957,524288,X13:4-X15:2-X19:16-X21:16-
196,493,196,-5.71957,524288,-5.71957,524288,X15:256-X19:4-X21:64-
197,495,197,-5.71957,524288,-5.71957,524288,X:64-X15:256-X19:4-X21:64-
198,497,198,-5.71957,524288,-5.71957,524288,X15:32-X19:8-X21:1-
199,500,199,-5.71957,524288,-5.71957,524288,X13:8-X15:8-X21:256-
200,502,200,-5.71957,524288,-5.71957,524288,X15:128-X19:4-X21:1-
201,505,201,-5.71957,524288,-5.71957,524288,X15:8-X19:4-X21:8-
202,507,202,-5.71957,524288,-5.71957,524288,X13:1-X15:16-X19:8-X21:32-
203,510,203,-5.71957,524288,-5.71957,524288,X15:8-X19:4-X21:32-
204,512,204,-5.71957,524288,-5.71957,524288,X15:16-X19:4-X21:16-
205,515,205,-5.71957,524288,-5.71957,524288,X15:1-X19:4-X21:16-
206,518,206,-5.71957,524288,-5.71957,524288,X15:256-X19:4-X21:1-
207,520,207,-5.71957,524288,-5.71957,524288,X15:4-X19:1-X21:16-
208,522,208,-5.71957,524288,-5.71957,524288,X15:256-X19:1-X21:64-
209,525,209,-5.71957,524288,-5.71957,524288,X15:128-X19:16-X21:8-
210,527,210,-5.71957,524288,-5.71957,524288,X13:1-X15:64-X19:2-X21:128-
211,530,211,-5.71957,524288,-5.71957,524288,X13:1-X15:64-X19:1-X21:64-
212,532,212,-5.71957,524288,-5.71957,524288,X15:64-X19:8-X21:16-
213,535,213,-5.71957,524288,-5.71957,524288,X15:4-X19:2-X21:32-
214,537,214,-5.71957,524288,-5.71957,524288,X15:128-X19:2-X21:2-
215,540,215,-5.71957,524288,-5.71957,524288,X13:32-X15:8-X21:256-
216,542,216,-5.71957,524288,-5.71957,524288,X13:2-X15:64-X21:256-
217,544,217,-5.71957,524288,-5.71957,524288,X15:128-X19:8-X21:4-
218,547,218,-5.71957,524288,-5.71957,524288,X13:8-X15:4-X19:2-X21:32-
219,550,219,-5.71957,524288,-5.71957,524288,X15:2-X19:2-X21:32-
220,552,220,-5.71957,524288,-5.71957,524288,X15:32-X19:1-X21:1-
221,555,221,-5.71957,524288,-5.71957,524288,X15:256-X19:4-X21:4-
222,557,222,-5.71957,524288,-5.71957,524288,X15:256-X19:32-X21:4-
223,560,223,-5.71957,524288,-5.71957,524288,X15:128-X19:32-X21:1-
224,562,224,-5.71957,524288,-5.71957,524288,X:8-X13:4-X15:64-X19:1-X21:128-
225,565,225,-5.71957,524288,-5.71957,524288,X15:256-X19:4-X21:16-
226,567,226,-5.71957,524288,-5.71957,524288,X13:4-X15:32-X19:1-X21:1-
227,569,227,-5.71957,524288,-5.71957,524288,X15:128-X19:4-X21:64-
228,572,228,-5.71957,524288,-5.71957,524288,X15:4-X19:32-X21:8-
229,575,229,-5.71957,524288,-5.71957,524288,X15:32-X19:4-X21:8-
230,577,230,-5.71957,524288,-5.71957,524288,X15:128-X19:2-X21:128-
231,580,231,-5.71957,524288,-5.71957,524288,X15:16-X19:4-X21:32-
232,582,232,-5.71957,524288,-5.71957,524288,X13:64-X15:2-X19:1-X21:128-
233,585,233,-5.71957,524288,-5.71957,524288,X15:128-X19:1-X21:2-
234,587,234,-5.71957,524288,-5.71957,524288,X13:8-X15:32-X19:16-X21:1-
235,590,235,-5.71957,524288,-5.71957,524288,X15:2-X19:2-X21:8-
236,592,236,-5.71957,524288,-5.71957,524288,X15:32-X19:1-X21:128-
237,595,237,-5.71957,524288,-5.71957,524288,X13:2-X15:4-X19:32-X21:8-
238,597,238,-5.71957,524288,-5.71957,524288,X15:1-X19:1-X21:4-
239,600,239,-5.71957,524288,-5.71957,524288,X13:128-X15:2-X19:8-X21:8-
