index,time,iter,reward,value,best_reward,best_value,node
114,372,114,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:16-X24:1-
115,375,115,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:100-X21:8-X24:4-
116,379,116,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:10-X25:5-X21:16-X24:2-
117,382,117,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:10-X21:32-X24:4-
118,385,118,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:10-X21:2-X24:1-
119,388,119,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:4-X25:25-X21:1-X24:16-
120,391,120,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X23:8-X25:100-X24:128-
121,394,121,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:4-X21:2-X24:1-
122,397,122,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:100-X21:128-X24:1-
123,400,123,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:5-X25:10-X21:4-X24:32-
124,403,124,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:4-X25:25-X21:1-X24:32-
125,407,125,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:20-X21:4-X24:16-
126,410,126,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:4-X24:2-
127,414,127,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:1-X21:4-X24:2-
128,417,128,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:25-X21:4-X24:32-
129,421,129,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:2-X21:2-X24:16-
130,424,130,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:5-X21:8-X24:2-
131,427,131,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X23:32-X25:100-X21:8-X24:4-
132,430,132,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:100-X21:4-X24:16-
133,433,133,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:5-X21:8-X24:16-
134,436,134,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:100-X21:64-X24:2-
135,439,135,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:1-X25:5-X21:1-X24:64-
136,443,136,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:2-X25:5-X21:1-X24:64-
137,446,137,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:10-X21:1-X24:16-
138,449,138,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:20-X21:4-X24:1-
139,453,139,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:5-X21:16-X24:4-
